longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
-118.42,34.01,29,1996,489.0,960,449,3.6611,<1H OCEAN
-122.04,38.28,25,3304,493.0,1464,488,5.2527,INLAND
-121.78,37.24,17,2123,341.0,1067,339,6.0062,<1H OCEAN
-122.27,37.86,52,834,186.0,494,175,3.15,NEAR BAY
-117.92,33.65,25,1679,470.0,1314,473,4.1026,<1H OCEAN
-118.11,33.89,35,1139,197.0,772,233,4.375,<1H OCEAN
-118.32,33.33,52,2127,512.0,733,288,3.3906,ISLAND
-122.41,37.74,48,409,86.0,148,70,3.6687,NEAR BAY
-120.77,37.42,27,949,224.0,888,241,2.3333,INLAND
-118.18,33.92,32,2035,519.0,2282,480,3.2734,<1H OCEAN
-117.88,33.74,25,1799,557.0,3416,538,3.0083,<1H OCEAN
-121.17,37.88,22,1283,256.0,3082,239,3.5365,INLAND
-119.16,36.28,18,2377,414.0,1359,424,4.4,INLAND
-122.29,37.88,46,1895,442.0,920,425,2.9926,NEAR BAY
-122.36,37.72,10,479,125.0,355,108,2.7083,NEAR BAY
-118.11,34.0,33,2886,726.0,2650,728,2.625,<1H OCEAN
-117.84,33.6,21,4281,582.0,1443,576,9.0519,<1H OCEAN
-118.52,34.19,42,881,170.0,464,163,2.9511,<1H OCEAN
-120.39,34.52,40,2162,395.0,1010,332,2.5667,NEAR OCEAN
-118.46,34.19,20,5992,1820.0,4826,1632,2.7237,<1H OCEAN
-121.3,38.13,26,2256,360.0,937,372,5.0528,INLAND
-119.41,36.68,18,1802,332.0,945,292,3.4044,INLAND
-122.57,37.99,38,5587,996.0,2466,1027,4.1711,NEAR BAY
-118.25,33.96,42,1326,295.0,918,258,2.3864,<1H OCEAN
-118.25,34.15,32,1377,444.0,768,422,2.2621,<1H OCEAN
-118.2,33.96,44,3114,779.0,2959,776,3.1875,<1H OCEAN
-122.89,40.76,14,712,131.0,270,90,2.3958,INLAND
-120.55,37.32,21,1410,229.0,590,205,3.3194,INLAND
-122.37,37.96,37,1572,402.0,1046,350,0.7403,NEAR BAY
-119.77,36.84,15,2058,412.0,891,378,3.2569,INLAND
-122.18,37.91,31,7200,876.0,2428,843,10.9405,NEAR BAY
-118.36,33.92,46,1231,231.0,793,256,4.1023,<1H OCEAN
-120.45,34.65,27,2215,578.0,1544,527,1.9257,NEAR OCEAN
-119.16,34.28,11,5330,1056.0,2801,1028,4.763,NEAR OCEAN
-121.26,38.11,4,2058,366.0,933,316,4.2448,INLAND
-117.27,32.85,26,1373,,608,268,4.425,NEAR OCEAN
-122.5,37.77,52,1769,414.0,1032,380,3.9954,NEAR BAY
-117.56,34.12,4,6956,1271.0,3455,1228,4.7193,INLAND
-122.27,37.84,52,1688,337.0,853,325,2.1806,NEAR BAY
-118.03,34.13,33,2352,373.0,995,359,4.9583,INLAND
-117.22,32.84,19,2691,347.0,1154,366,8.051,NEAR OCEAN
-122.2,37.47,37,1403,369.0,1587,331,2.8258,NEAR BAY
-121.88,39.74,12,14631,3298.0,7517,3262,1.6785,INLAND
-118.28,34.05,44,1273,474.0,1754,460,1.6037,<1H OCEAN
-122.15,37.74,49,1494,316.0,611,288,2.2,NEAR BAY
-119.79,34.43,26,3611,563.0,2089,540,5.1615,NEAR OCEAN
-118.26,34.1,48,2566,571.0,1421,563,3.6579,<1H OCEAN
-118.23,34.66,25,2627,387.0,1059,338,3.6382,INLAND
-118.44,34.24,36,1660,301.0,1225,307,4.095,<1H OCEAN
-117.46,34.04,3,12870,2315.0,5820,1759,4.2429,INLAND
-117.08,32.74,33,3260,673.0,1784,666,3.5078,NEAR OCEAN
-121.01,37.7,12,9148,1906.0,4656,1853,3.2447,INLAND
-117.88,33.71,20,1738,509.0,1403,411,3.1742,<1H OCEAN
-122.28,37.87,46,3022,696.0,1293,675,2.543,NEAR BAY
-117.87,33.6,33,3120,602.0,1155,553,5.2949,<1H OCEAN
-117.3,34.17,30,2483,573.0,1172,438,1.875,INLAND
-121.09,38.19,23,762,140.0,358,141,2.4545,INLAND
-122.12,37.91,34,5683,755.0,1962,723,8.3678,NEAR BAY
-117.84,33.82,24,10281,1689.0,4926,1629,4.7946,<1H OCEAN
-122.43,37.79,24,2459,1001.0,1362,957,2.6782,NEAR BAY
-120.19,37.53,25,1470,341.0,706,283,1.7614,INLAND
-122.09,37.94,29,6895,1022.0,2634,1022,6.1922,NEAR BAY
-121.87,37.32,39,1839,471.0,1528,456,2.6818,<1H OCEAN
-118.38,34.21,42,715,145.0,730,158,3.8,<1H OCEAN
-124.14,40.8,32,1373,312.0,872,306,2.5,NEAR OCEAN
-122.06,37.9,25,5869,1685.0,2669,1554,2.6998,NEAR BAY
-118.3,33.96,43,2009,442.0,1095,439,2.8299,<1H OCEAN
-118.03,33.82,17,1851,346.0,770,310,5.6093,<1H OCEAN
-118.2,34.02,49,1098,317.0,1411,301,2.75,<1H OCEAN
-118.25,34.25,34,3150,518.0,1392,480,4.9355,<1H OCEAN
-119.22,34.15,32,3152,596.0,3490,526,2.725,NEAR OCEAN
-119.63,36.34,26,1463,261.0,699,219,3.5536,INLAND
-121.53,39.08,15,1810,441.0,1157,375,2.0469,INLAND
-119.08,35.42,10,4159,608.0,2089,591,5.5261,INLAND
-117.66,34.04,16,2081,348.0,1332,356,4.7872,INLAND
-121.22,38.04,42,343,50.0,116,49,5.5376,INLAND
-118.44,34.01,41,1309,221.0,534,228,5.1708,<1H OCEAN
-118.54,34.37,27,2051,301.0,917,287,7.6059,<1H OCEAN
-120.7,35.32,46,118,17.0,6532,13,4.2639,NEAR OCEAN
-122.24,40.19,29,1912,336.0,859,325,3.7,INLAND
-121.89,37.67,20,2948,471.0,1181,474,6.0604,INLAND
-121.32,37.95,36,747,189.0,338,145,1.7885,INLAND
-122.91,39.06,21,1236,238.0,601,261,1.939,INLAND
-117.23,32.73,36,2052,287.0,699,265,7.5557,NEAR OCEAN
-117.23,33.77,5,2108,496.0,1666,461,2.0,INLAND
-121.32,38.21,27,2643,467.0,1455,444,3.6398,INLAND
-119.71,36.83,15,2727,500.0,1228,436,3.5078,INLAND
-116.97,32.56,23,1262,294.0,5176,275,2.5625,NEAR OCEAN
-122.43,37.63,15,2748,997.0,1447,901,3.5214,NEAR OCEAN
-120.48,35.02,17,2721,477.0,1672,492,2.9798,<1H OCEAN
-121.8,39.33,30,1019,192.0,501,185,2.5259,INLAND
-118.2,33.97,30,1911,562.0,2055,534,2.3917,<1H OCEAN
-120.71,35.27,9,2568,421.0,1149,398,5.4287,NEAR OCEAN
-118.18,33.8,42,2301,621.0,2114,561,2.0579,NEAR OCEAN
-119.78,36.83,18,4164,741.0,1817,681,4.2153,INLAND
-122.27,38.68,18,742,142.0,343,119,3.1563,INLAND
-121.27,37.95,52,1318,308.0,1368,310,1.8261,INLAND
-118.31,33.75,34,2338,393.0,1031,373,6.287,NEAR OCEAN
-121.88,36.96,18,4910,817.0,1971,773,5.8325,NEAR OCEAN
-120.37,34.69,18,1868,315.0,747,265,4.7946,NEAR OCEAN
-122.1,37.38,37,4167,612.0,1577,597,7.5655,NEAR BAY
-121.37,36.84,11,1996,382.0,1023,358,3.5714,INLAND
-122.66,38.45,26,2081,339.0,906,323,4.4375,<1H OCEAN
-120.73,39.63,17,1791,356.0,432,190,3.8826,INLAND
-122.09,37.69,43,500,110.0,273,120,3.3125,NEAR BAY
-122.95,40.67,17,1498,331.0,574,242,2.0268,INLAND
-121.29,37.87,29,488,108.0,308,115,2.6563,INLAND
-117.23,32.72,43,952,209.0,392,210,2.1635,NEAR OCEAN
-121.03,37.68,20,3204,625.0,2016,605,2.6567,INLAND
-121.89,40.97,26,1183,276.0,513,206,2.225,INLAND
-122.45,40.61,17,785,155.0,417,136,2.3289,INLAND
-120.86,37.69,5,6660,1217.0,3012,1087,3.0809,INLAND
-121.83,37.31,19,11181,1895.0,7817,1853,5.6058,<1H OCEAN
-121.2,38.28,20,1732,307.0,999,305,3.9808,INLAND
-119.93,35.2,29,1649,342.0,671,264,3.0602,INLAND
-117.92,33.94,30,2506,394.0,1255,421,4.7813,<1H OCEAN
-119.25,34.21,12,15201,2418.0,7132,2251,5.6756,NEAR OCEAN
-120.62,35.28,28,3952,592.0,1469,571,6.3144,NEAR OCEAN
-118.31,34.07,28,2362,949.0,2759,894,2.2364,<1H OCEAN
-122.31,40.65,11,3664,647.0,1686,613,2.9338,INLAND
-123.21,39.2,17,3145,693.0,1560,647,2.2926,<1H OCEAN
-122.25,37.89,41,1125,195.0,356,181,6.1593,NEAR BAY
-118.42,34.2,34,161,48.0,66,33,1.0,<1H OCEAN
-117.14,32.71,52,1225,332.0,955,321,1.6011,NEAR OCEAN
-121.36,38.04,9,2167,370.0,1290,351,5.0285,INLAND
-121.28,38.59,3,4188,1136.0,2081,995,3.0481,INLAND
-117.93,33.65,29,1253,375.0,1198,362,3.5179,<1H OCEAN
-118.96,35.37,32,1025,259.0,874,236,1.9612,INLAND
-118.13,33.81,36,1749,322.0,855,319,4.6473,<1H OCEAN
-117.15,32.74,43,2383,607.0,962,587,2.2578,NEAR OCEAN
-119.29,36.54,18,2581,628.0,2732,592,1.8429,INLAND
-118.13,33.96,36,1933,341.0,958,335,4.4732,<1H OCEAN
-122.41,37.76,52,2605,678.0,2071,611,3.2964,NEAR BAY
-122.39,37.76,52,157,28.0,88,27,3.675,NEAR BAY
-117.31,33.19,11,20944,3753.0,8738,3441,4.3762,NEAR OCEAN
-122.56,40.75,20,1182,250.0,512,210,1.7935,INLAND
-120.26,37.13,33,1239,250.0,648,227,2.0278,INLAND
-118.21,34.02,52,22,7.0,55,7,7.5752,<1H OCEAN
-115.37,32.82,30,1602,322.0,1130,335,3.5735,INLAND
-118.02,34.13,32,3308,718.0,1803,667,3.9464,INLAND
-119.78,36.72,22,354,121.0,530,115,2.1458,INLAND
-118.56,34.03,34,2095,343.0,662,299,8.2934,<1H OCEAN
-117.2,32.82,35,2772,537.0,1392,521,3.337,NEAR OCEAN
-121.92,37.29,32,1260,199.0,560,207,6.5858,<1H OCEAN
-120.45,34.63,25,2445,368.0,983,363,4.9286,NEAR OCEAN
-117.11,32.75,18,1943,587.0,1329,522,1.7696,NEAR OCEAN
-122.0,38.35,34,1084,187.0,561,198,4.2115,INLAND
-118.21,33.96,39,2050,529.0,1959,485,2.1389,<1H OCEAN
-118.22,33.98,18,1781,765.0,1913,702,1.2059,<1H OCEAN
-115.52,32.97,10,1879,387.0,1376,337,1.9911,INLAND
-118.27,33.95,43,1156,291.0,1074,299,1.8814,<1H OCEAN
-122.98,38.44,29,4450,939.0,1328,590,3.1,<1H OCEAN
-118.58,34.2,35,1558,267.0,793,249,5.1463,<1H OCEAN
-122.15,37.73,52,1028,129.0,317,143,4.9135,NEAR BAY
-121.03,37.69,6,2607,557.0,1266,475,3.4632,INLAND
-117.11,32.76,31,2293,549.0,1108,557,3.3854,NEAR OCEAN
-118.61,34.24,17,5406,895.0,2337,882,6.0137,<1H OCEAN
-122.01,36.98,47,2403,517.0,1144,455,2.5954,NEAR OCEAN
-121.0,37.66,43,2369,413.0,944,422,3.2632,INLAND
-117.18,33.15,7,6225,1683.0,5410,1580,2.32,<1H OCEAN
-118.32,34.09,44,2666,,2297,726,1.676,<1H OCEAN
-119.7,36.82,25,2379,540.0,1482,484,2.3173,INLAND
-120.66,35.2,13,5138,713.0,1838,645,5.9676,NEAR OCEAN
-118.21,33.98,35,1705,562.0,2212,539,2.325,<1H OCEAN
-122.92,39.05,16,1548,295.0,605,250,3.5652,INLAND
-115.56,32.8,15,1171,328.0,1024,298,1.3882,INLAND
-121.88,37.31,28,3085,552.0,1277,512,4.5795,<1H OCEAN
-117.55,33.95,17,3196,444.0,1581,462,5.9333,INLAND
-117.3,34.15,45,942,166.0,401,174,3.8594,INLAND
-117.98,33.91,16,10621,1782.0,3836,1480,5.0923,<1H OCEAN
-118.98,35.38,24,1807,465.0,1460,410,1.4786,INLAND
-121.39,38.59,33,2091,468.0,1053,470,2.2264,INLAND
-120.06,39.09,30,2979,583.0,316,124,2.1987,INLAND
-118.56,34.19,34,1237,242.0,671,221,3.9615,<1H OCEAN
-119.17,34.27,18,8010,1539.0,3982,1483,4.0905,NEAR OCEAN
-118.28,33.99,35,1138,304.0,1128,311,1.8818,<1H OCEAN
-118.44,34.05,22,3970,871.0,1588,791,4.8618,<1H OCEAN
-117.9,33.66,22,3568,938.0,1952,938,3.1667,<1H OCEAN
-118.43,34.3,28,271,61.0,246,62,1.7062,<1H OCEAN
-117.08,32.7,37,2176,418.0,1301,375,2.875,NEAR OCEAN
-118.57,34.27,20,7384,845.0,2795,872,9.6047,<1H OCEAN
-120.8,37.61,30,918,154.0,469,139,3.9688,INLAND
-118.48,34.25,35,1442,276.0,795,268,4.9688,<1H OCEAN
-118.09,33.9,37,1147,258.0,742,242,4.0461,<1H OCEAN
-121.27,38.62,13,2321,539.0,1066,497,2.7652,INLAND
-121.32,37.97,43,2453,490.0,1093,438,2.9107,INLAND
-116.25,33.68,16,926,189.0,238,118,3.0114,INLAND
-118.19,33.98,34,1022,286.0,1058,275,2.6042,<1H OCEAN
-119.48,37.0,16,2904,551.0,1467,509,3.1736,INLAND
-121.29,38.02,12,2006,426.0,1849,396,2.5437,INLAND
-118.42,34.23,34,1531,278.0,1064,274,5.6687,<1H OCEAN
-117.75,33.83,14,2452,296.0,954,275,8.2375,<1H OCEAN
-122.08,37.72,31,3866,531.0,1368,521,6.187,NEAR BAY
-118.06,33.97,39,1639,300.0,988,309,3.9612,<1H OCEAN
-121.09,38.97,13,1467,221.0,688,231,5.2536,INLAND
-122.43,37.75,52,2960,623.0,1191,589,3.95,NEAR BAY
-117.94,33.67,26,2552,314.0,925,323,8.1839,<1H OCEAN
-118.17,34.06,36,871,201.0,2862,181,2.1845,<1H OCEAN
-117.9,33.83,33,3065,611.0,2204,606,3.8456,<1H OCEAN
-122.43,37.75,52,1970,495.0,871,474,4.0625,NEAR BAY
-118.4,33.99,36,1280,240.0,704,217,5.9632,<1H OCEAN
-118.0,35.05,21,1739,425.0,945,362,3.4015,INLAND
-118.03,33.72,24,5203,957.0,2465,946,5.163,<1H OCEAN
-118.28,34.1,44,2728,585.0,1227,567,4.0602,<1H OCEAN
-122.01,36.97,52,920,202.0,525,264,2.9444,NEAR OCEAN
-118.18,33.98,24,1880,642.0,2646,605,2.1836,<1H OCEAN
-117.95,33.74,21,3576,554.0,1846,538,5.9838,<1H OCEAN
-120.82,37.51,17,1664,253.0,736,254,4.4083,INLAND
-122.16,37.76,46,1827,307.0,881,302,4.6696,NEAR BAY
-117.08,32.8,25,2963,552.0,1162,556,3.625,NEAR OCEAN
-117.93,33.88,32,2458,359.0,967,409,7.2893,<1H OCEAN
-118.23,34.12,32,2094,491.0,1413,479,4.5089,<1H OCEAN
-117.95,34.09,18,1179,324.0,1296,331,2.851,<1H OCEAN
-121.46,38.57,52,1917,367.0,722,358,3.1484,INLAND
-122.47,37.78,52,1941,436.0,955,425,4.1339,NEAR BAY
-122.46,38.53,32,1735,331.0,785,309,3.6641,INLAND
-121.47,38.57,50,3233,968.0,1223,837,1.2041,INLAND
-120.59,37.59,36,291,48.0,124,47,5.6945,INLAND
-118.37,33.81,33,5057,790.0,2021,748,6.8553,NEAR OCEAN
-117.83,33.82,23,1100,285.0,940,267,3.6953,<1H OCEAN
-118.33,34.07,52,2248,255.0,813,265,15.0001,<1H OCEAN
-118.13,34.19,42,2203,412.0,1012,377,4.0714,INLAND
